snapped_at,price,market_cap,total_volume
2021-04-05 00:00:00 UTC,1.067829142189632,115412464.62584098,14102358.80440385
2021-04-06 00:00:00 UTC,1.067829142189632,115412464.62584098,14102358.80440385
2021-04-07 00:00:00 UTC,1.0392732264412947,234010866.23529187,18935143.020268235
2021-04-08 00:00:00 UTC,1.0161596630514895,250007341.41343743,7032222.422246026
2021-04-09 00:00:00 UTC,1.0328986822255186,266638916.42125756,6348106.313465875
2021-04-10 00:00:00 UTC,1.0160708658643585,269995861.83124506,6241121.37280238
2021-04-11 00:00:00 UTC,1.0202656137057287,274756754.0660317,11873411.601971112
2021-04-12 00:00:00 UTC,1.0230888294030849,281891355.9523023,3214580.9126302497
2021-04-13 00:00:00 UTC,1.0262859918396388,325585611.01369405,7318289.001804738
2021-04-14 00:00:00 UTC,1.0274396868065923,367465987.2687758,7188450.766022014
2021-04-15 00:00:00 UTC,1.0371891774288,458438573.25866884,16904477.485199228
2021-04-16 00:00:00 UTC,1.0303967734891704,533768776.49112684,14476474.179634105
2021-04-17 00:00:00 UTC,1.0286398445115488,554428770.2025685,7881734.197749119
2021-04-18 00:00:00 UTC,1.0020867403522715,555234823.1523194,9751708.692811226
2021-04-19 00:00:00 UTC,1.0110997786765403,1239533692.5607922,30937565.66624452
2021-04-20 00:00:00 UTC,1.0093073425319283,1230178974.647129,17029411.82245866
2021-04-21 00:00:00 UTC,1.0051144417762339,1213309315.7848723,14168027.929735597
2021-04-22 00:00:00 UTC,1.0113637094652532,1226872183.4669952,16385832.839231212
2021-04-23 00:00:00 UTC,1.0198819156468388,1445258784.145786,31305243.96634671
2021-04-24 00:00:00 UTC,1.0234967101802273,1452103980.202206,64551006.75248359
2021-04-25 00:00:00 UTC,1.0043550125470124,1457434181.80424,32207781.208788965
2021-04-26 00:00:00 UTC,1.0133442295104618,1476462651.8928556,29124788.09798937
2021-04-27 00:00:00 UTC,1.0060337813288496,1459027118.7136457,46155616.61048459
2021-04-28 00:00:00 UTC,1.0058048428738766,1461731352.0704777,34924773.271482825
2021-04-29 00:00:00 UTC,1.0033856993328354,1461474587.6612377,28406785.825583212
2021-04-30 00:00:00 UTC,1.0116079999505083,1485825258.9642568,23557547.456845712
2021-05-01 00:00:00 UTC,1.0152353502639822,1485247852.551694,9057286.812918345
2021-05-02 00:00:00 UTC,1.0059338944041911,1476117093.6551797,14189301.43376782
2021-05-03 00:00:00 UTC,0.9991685925108132,1465436881.8680933,7668512.636800038
2021-05-04 00:00:00 UTC,1.008787927666221,1475701418.026738,43427383.026616685
2021-05-05 00:00:00 UTC,0.9923233986185767,1484842033.0227182,89781253.94051859
2021-05-06 00:00:00 UTC,0.9995351726787332,1498636590.3313951,37189354.04826099
2021-05-07 00:00:00 UTC,0.9933715522596355,1496053119.8431602,38518985.397626914
2021-05-08 00:00:00 UTC,1.0007675451312192,1507863980.9950047,30353223.2180296
2021-05-09 00:00:00 UTC,0.9966188928126777,1516684360.1008625,47215840.68185764
2021-05-10 00:00:00 UTC,0.9974559504720901,1537015580.590769,36802426.153276116
2021-05-11 00:00:00 UTC,0.9983780374825324,1541664249.6725216,47199625.80233226
2021-05-12 00:00:00 UTC,1.0045465298260463,1548501400.3112779,54232776.34078368
2021-05-13 00:00:00 UTC,0.9952878780711596,1551426797.2936988,38541461.51184371
2021-05-14 00:00:00 UTC,0.9991297063825263,1557155051.9718952,66745210.473947935
2021-05-15 00:00:00 UTC,0.9940200311494758,1549839958.624571,27741578.214181498
2021-05-16 00:00:00 UTC,0.988375438622652,1524098319.8387852,40135064.827685446
2021-05-17 00:00:00 UTC,1.007743692588858,1509249191.6262567,67025107.073219135
2021-05-18 00:00:00 UTC,0.9951905601639185,1473807787.3773305,68032958.16850433
2021-05-19 00:00:00 UTC,0.9942611171718435,1440987963.2770896,8683373.378464824
2021-05-20 00:00:00 UTC,0.974116681106667,841975902.8409547,83752140.0687319
2021-05-21 00:00:00 UTC,0.9843574084082192,640772710.2036772,19474695.743348416
2021-05-22 00:00:00 UTC,0.9979740879104677,629441157.1909224,64270683.78619496
2021-05-23 00:00:00 UTC,0.992496797446209,638225837.1532586,22787750.771152318
2021-05-24 00:00:00 UTC,1.0084161057803636,491637436.76919293,87740909.38400686
2021-05-25 00:00:00 UTC,1.0024607675930697,492502193.88978213,15100880.914256383
2021-05-26 00:00:00 UTC,1.0045351551004356,497852955.94212466,12969929.195379956
2021-05-27 00:00:00 UTC,1.0082714667220225,684861899.9470377,27573328.83527847
2021-05-28 00:00:00 UTC,1.0099210674582517,719531597.1597327,14658607.436164524
2021-05-29 00:00:00 UTC,1.0149633509826892,729688775.5473752,15337184.278581383
2021-05-30 00:00:00 UTC,1.0111765570784015,723721414.0670351,5404009.899814509
2021-05-31 00:00:00 UTC,1.0182908635042232,726472857.8237591,14543174.031175684
2021-06-01 00:00:00 UTC,1.0203113082127302,744845140.9858923,8526425.446433987
2021-06-02 00:00:00 UTC,1.0246476477833282,751172500.4259807,12494594.699702475
2021-06-03 00:00:00 UTC,1.0176539779057285,751697719.3569847,14112024.205417043
2021-06-04 00:00:00 UTC,1.024416455388891,762052866.9515461,9779827.701750964
2021-06-05 00:00:00 UTC,1.011174821162518,754020184.8353082,9168640.2669501
2021-06-06 00:00:00 UTC,1.0178738090555555,775506420.4253289,21762739.826443292
2021-06-07 00:00:00 UTC,1.0126488606254744,778669066.3213677,12631424.414125364
